address|name|type|size
0048d46c|c_dfDIJoystick2|global|24
0048d674|c_dfDIKeyboard|global|24
004903f8|IID_IDirectSoundNotify|global|16
00490408|GUID_SysKeyboard|global|16
004904a8|IID_IDirectInput8A|global|16
004904b8|IID_IShellLinkA|global|16
004904c8|CLSID_ShellLink|global|16
004904d8|IID_IPersistFile|global|16
004904e8|GUID_NULL|global|16
00495120|g_SeekModes|global|12
0049512c|g_TextureFormatD3D8Mapping|global|24
00495144|g_TextureBytesPerPixel|global|28
00495160|g_BulletTypeInfos|global|220
00495248|Pbg4File|vtable|36
0049526c|IPbg4File|vtable|4
0049528c|CStreamingSound|vtable|4
00495290|CSound|vtable|4
004964f4|g_DifficultyWeightsList|global|20
00496c0c|DummyMidiTimer|vtable|4
00497260|MidiTimer|vtable|4
00497264|MidiOutput|vtable|4
0049d9c0|lpCriticalSection_0049d9c0|global|4
0049dc74|dwTlsIndex_0049dc74|global|4
0049de78|lpMultiByteStr_0049de78|global|4
0049de7c|lpMultiByteStr_0049de7c|global|4
0049decc|lpBuffer_0049decc|global|4
0049ea70|g_AccessModes|global|12
0049ea7c|g_DemoReplayPaths|global|12
0049ea88|SOUND_BUFFER_IDX_VOL|global|304
0049ebb8|g_SFXList|global|120
0049ec30|g_AlphabetList|global|4
0049ec34|g_CharacterList|global|24
0049ec50|g_BombData|global|96
0049ecb0|g_ShtFireFuncs|global|24
0049ecc8|g_ShtUpdateFuncs|global|24
0049ece0|g_ShtDrawFuncs|global|8
0049ece8|g_ShtHitFuncs|global|16
0049ecf8|g_CherryBonusFullPower|global|120
0049ed74|g_PowerLevels|global|36
0049ed98|g_FormatInfoArray|global|168
0049ee40|g_ControllerMapping|global|18
0049ee58|g_BulletColorsArray|global|112
0049eec8|g_DefaultBulletColors|global|112
0049ef38|g_BulletColor|global|4
0049ef40|g_BulletSpriteOffset16Px|global|64
0049ef80|g_BulletSpriteOffset32Px|global|32
0049efa0|g_ItemDropTable|global|32
0049efc0|g_EffectMapping|global|408
0049f158|g_EclExInstr|global|96
0049f1b8|g_SpellcardScore|global|564
0049f3ec|g_EclInterpFuncs|global|32
0049f40c|g_StagePracticeStrings|global|24
0049f424|g_StageReplayStrings|global|28
0049f440|g_PhantasmReplayString|global|4
0049f444|g_DifficultyStrings|global|24
0049f45c|g_CharacterAndShottypeReplayStrings|global|24
0049f474|g_LastJoystickInput|global|2
0049f478|g_KeyConfigStrings|global|48
0049f4a8|g_OptionsStrings|global|36
0049f4cc|g_MainMenuStrings|global|32
0049f4ec|g_CharactersAndShotTypesStrings|global|24
0049f504|g_DifficultyPointItemWeightsList|global|20
0049f518|g_DifficultyNameTable|global|24
0049f530|g_ShooterTable|global|24
0049f548|g_ShooterTable2|global|24
0049f560|g_EclPaths|global|40
0049f588|g_AnmStageFiles|global|72
0049f5d0|g_RankArray|global|72
0049f618|g_SpellcardTimeColors|global|16
0049f628|g_BadEndingPaths|global|12
0049f634|g_NormalEndingPaths|global|24
0049f64c|g_StageFiles|global|36
0049f93c|lpWideCharStr_0049f93c|global|4
0049f990|lpWideCharStr_0049f990|global|4
0049fbc4|lpTopLevelExceptionFilter_0049fbc4|global|4
0049fbf0|g_Gui|global|148
0049fc88|g_JoystickCaps|global|404
0049fe1c|g_FocusButtonConflictState|global|2
0049fe20|g_Rng|global|8
0049fe28|g_TextBufferSurface|global|4
0049fe30|g_LzssTree|global|98316
004b7e40|g_LzssDictionary|global|8196
004b9e44|g_AnmManager|global|4
004b9e48|g_ReplayManager|global|4
004b9e4c|g_CurFrameRawInput|global|2
004b9e50|g_CurFrameGameInput|global|2
004b9e54|g_LastFrameRawInput|global|2
004b9e58|g_LastFrameGameInput|global|2
004b9e5c|g_IsEighthFrameOfHeldInput|global|2
004b9e60|g_NumOfFramesInputsWereHeld|global|2
004b9e64|g_LastFileSize|global|4
004b9e68|g_UnusedPbg4ArchiveArray|global|320
004b9fa8|g_PrimitivesToDrawNoVertexBuf|global|112
004ba018|g_PrimitivesToDrawVertexBuf|global|96
004ba078|g_PrimitivesToDrawUnknown|global|96
004ba0d8|g_SoundPlayer|global|14796
004bdad8|g_Player|global|753272
00575950|g_Supervisor|global|720
00575c20|g_GameWindow|global|44
00575c70|g_ItemManager|global|714108
00624210|g_GameErrorContext|global|8197
00626218|g_Chain|global|64
00626258|g_Pbg4Archive|global|16
00626270|g_GameManager|global|38468
0062f8b4|g_GameManagerCalcChain|global|32
0062f8d4|g_GameManagerDrawChain|global|32
0062f8f4|g_GuiDrawChain|global|32
0062f914|g_GuiCalcChain|global|32
0062f934|g_BulletManagerDrawChain|global|32
0062f958|g_BulletManager|global|3645796
009a9abc|g_BulletManagerCalcChain|global|32
009a9adc|g_EnemyManagerDrawChain1|global|32
009a9b00|g_EnemyManager|global|9783056
012fe210|g_EnemyManagerCalcChain|global|32
012fe230|g_EnemyManagerDrawChain2|global|32
012fe250|g_EffectManager|global|300712
013478f8|g_EffectManagerCalcChain|global|32
01347918|g_EffectManagerDrawChain|global|32
01347938|g_EclManager|global|8
01347aa0|g_GlobalEclVars|global|32
01347ac0|g_UnusedChain|global|32
01347ae0|g_StageOnDrawHighPrioChain|global|32
01347b00|g_Stage|global|21172
0134cdb4|g_StageOnDrawLowPrioChain|global|32
0134cdd4|g_StageCalcChain|global|32
0134cdf4|g_AsciiManagerOnDrawMenusChain|global|32
0134ce18|g_AsciiManager|global|70036
0135dfac|g_AsciiManagerCalcChain|global|32
0135dfcc|g_AsciiManagerOnDrawPopupsChain|global|32
0135dfec|g_FpsUpdateCounter|global|4
0135dff0|g_FpsCounterBuffer2|global|256
0135e0f0|g_FpsCounterBuffer|global|256
0135e1f0|g_NumFramesSinceLastTime|global|4
0135e1f4|g_Mutex|global|4
0135e1f8|g_TickCountToEffectiveFramerate|global|4
0135e200|g_LastFrameTime|global|8
0135e208|g_LastPerfCounter|global|8
0135e210|g_PerfCounter|global|8
0135e218|g_ControllerData|global|128
0135e298|g_PerformanceCounter|global|8
0135e2a0|g_LastTime|global|4
0135e2a8|g_MusicRoom|global|23556
01363fc4|CodePage_01363fc4|global|4
0136510c|uNumber_0136510c|global|4
01365228|lpMem_01365228|global|4
0136523c|hHeap_0136523c|global|4
